u,x,dx,ddx
0.989413,0.904,31.0311,912.999
0.99994,0.944,31.9117,909.278
1.0109,0.988,33.1038,937.079
1.02147,1.032,34.176,950.108
1.03205,1.08,35.5402,991.002
1.0418,1.124,36.3676,974.133
1.05311,1.172,37.5119,990.632
1.06353,1.224,38.9411,1033.97
1.07315,1.272,39.8262,1018.53
1.08435,1.324,41.0225,1035.78
1.09491,1.376,42.0987,1039.27
1.10548,1.428,43.0667,1031.59
1.11651,1.484,44.337,1054.91
1.12693,1.54,45.4796,1063.13
1.1376,1.596,46.5075,1059.04
1.14851,1.652,47.4324,1045.06
1.15962,1.712,48.6637,1063.13
1.17011,1.772,49.7714,1067.02
1.18086,1.832,50.7682,1059.44
1.19183,1.892,51.6647,1042.59
1.20347,1.956,52.8707,1058.37
1.21425,2.02,53.9558,1060.49
1.22505,2.084,54.9322,1051.54
1.23654,2.148,55.8104,1033.65
1.24798,2.216,56.9994,1048.64
1.25856,2.284,58.0695,1050.22
1.26963,2.352,59.032,1040.9
1.2809,2.424,60.2979,1062.86
1.29156,2.492,61.0357,1029.78
1.30353,2.564,62.0997,1032.66
1.31484,2.64,63.4575,1064.64
1.32508,2.712,64.2755,1039.36
1.33713,2.788,65.4131,1048.62
1.34805,2.864,66.4371,1045.61
1.35968,2.944,67.7585,1072.63
1.37001,3.024,68.9469,1083.64
1.38131,3.104,70.0155,1081.56
1.39236,3.184,70.9766,1068.94
1.40413,3.268,72.2414,1087.96
1.4148,3.352,73.3797,1092.43
1.4262,3.44,74.8025,1124.88
1.43655,3.528,76.0826,1139.81
1.4472,3.616,77.2345,1140.43
1.45833,3.704,78.2702,1129.34
1.4697,3.8,80.0004,1188.81
1.47944,3.892,81.1581,1185.07
1.49032,3.984,82.1995,1170.08
1.50192,4.08,83.5363,1186.14
1.51222,4.176,84.738,1187.07
1.52325,4.276,86.2198,1215.91
1.53348,4.372,87.1524,1186.94
1.54505,4.472,88.3914,1191.52
1.55602,4.572,89.5053,1183.13
1.56699,4.676,90.908,1204.47
1.57738,4.78,92.1696,1209.55
1.58805,4.884,93.3045,1201.45
1.599,4.992,94.7242,1222.63
1.60935,5.1,96.002,1227.51
1.61999,5.208,97.1516,1219.07
1.63089,5.316,98.1853,1199.89
1.64204,5.428,99.5141,1212.15
1.65233,5.54,100.71,1209.89
1.66289,5.656,102.186,1235.84
1.67292,5.772,103.513,1244.31
1.68322,5.888,104.706,1238.55
1.69354,6.008,106.181,1261.46
1.70357,6.128,107.507,1267.29
1.71363,6.248,108.7,1259.22
1.72396,6.368,109.772,1239.82
1.73477,6.492,111.137,1251.66
1.74477,6.616,112.365,1248.65
1.75503,6.744,113.87,1273.63
1.76474,6.872,115.222,1280.82
1.77451,7,116.439,1273.76
1.78457,7.128,117.534,1255.19
1.79509,7.264,119.319,1307.57
1.80376,7.396,120.525,1296.65
1.81382,7.528,121.609,1274.7
1.82415,7.664,122.984,1284.1
1.83387,7.8,124.221,1278.7
1.84363,7.94,125.733,1301.31
1.85263,8.084,127.494,1346.6
1.8611,8.224,128.678,1329.63
1.8712,8.368,130.143,1342.47
1.88003,8.516,131.859,1379.13
