u,x,dx,ddx
3.20397,1.2,35.1241,846.318
3.23334,1.244,35.9932,848.155
3.2631,1.292,37.175,881.071
3.29071,1.34,38.238,898.804
3.31928,1.388,39.1938,904.019
3.3491,1.436,40.054,899.168
3.37965,1.484,40.8276,886.146
3.41089,1.536,41.9235,906.658
3.43992,1.588,42.9088,914.036
3.4695,1.636,43.3953,870.795
3.50376,1.692,44.6329,907.019
3.53129,1.748,45.7461,927.164
3.56021,1.8,46.347,894.042
3.59391,1.856,47.2876,898.221
3.62453,1.916,48.5337,932.533
3.65239,1.972,49.2549,910.907
3.68513,2.032,50.303,924.141
3.71489,2.092,51.2459,925.517
3.74589,2.16,52.8945,997.341
3.77013,2.22,53.5772,965.361
3.80354,2.288,54.991,1009.68
3.83001,2.356,56.2629,1035.37
3.85803,2.424,57.4075,1045.76
3.88739,2.496,58.8368,1083.57
3.9141,2.568,60.1216,1103.11
3.94197,2.636,60.8777,1067.84
3.97447,2.712,62.3579,1108.51
4.00078,2.788,63.6895,1130.24
4.02827,2.864,64.8863,1136.28
4.05689,2.944,66.3633,1169.75
4.08322,3.02,67.2925,1145.09
4.11393,3.1,68.5248,1153.15
4.14225,3.18,69.6351,1148.24
4.17151,3.26,70.6347,1132.78
4.20201,3.344,71.9342,1148.84
4.22946,3.428,73.1027,1150.21
4.25826,3.512,74.1535,1139.66
4.28799,3.6,75.4986,1159.6
4.31543,3.684,76.3089,1124.05
4.34709,3.776,77.8383,1164
4.37264,3.868,79.2129,1184.43
4.39943,3.96,80.4496,1189.04
4.42738,4.052,81.5626,1180.81
4.45662,4.152,83.3631,1242.16
4.47964,4.248,84.5812,1239.07
4.50773,4.344,85.6784,1224.23
4.53637,4.44,86.6654,1199.86
4.56662,4.544,88.3533,1248.03
4.59025,4.644,89.4708,1234.31
4.61908,4.748,90.8767,1250.83
4.64525,4.852,92.1412,1251.53
4.67256,4.96,93.6787,1279.47
4.69776,5.064,94.6611,1249.08
4.72767,5.176,96.3455,1291.97
4.75126,5.284,97.4605,1273.59
4.78012,5.396,98.8635,1285.87
4.8064,5.508,100.124,1282.68
4.83373,5.624,101.659,1307.23
4.85887,5.74,103.04,1313.91
4.88488,5.856,104.282,1306
4.91245,5.98,106.198,1366.3
4.93381,6.1,107.522,1361.35
4.96064,6.22,108.713,1343.59
4.98825,6.348,110.584,1395.62
5.00997,6.468,111.466,1343.56
5.04032,6.596,113.061,1367.95
5.06435,6.728,114.896,1413.92
5.08637,6.856,116.146,1396.83
5.11306,6.988,117.67,1408.75
5.13757,7.12,119.04,1404.21
5.16339,7.252,120.274,1386.42
5.19058,7.388,121.784,1398.04
5.2152,7.528,123.541,1433.17
5.23747,7.664,124.721,1407.17
